Id,Nombre d'étoiles,Commentaire,Date,Répondu
204,5,"Entre la Prise de la commande et la…Entre la Prise de la commande et la livraison, excellente rapidité.",18 octobre 2022,0
205,5,"Pas d’avisPas d’avis : les cartons ne sont pas encore utilisés. Sinon, livraison rapide. Merci",13 octobre 2022,0
206,5,SuperTrès bon service et cartons de qualités,11 octobre 2022,0
207,5,Très bien 👍 livraison rapide,18 octobre 2022,0
208,5,"cartons pour verrestrès contente du produit, de très bonne qualitè",06 octobre 2022,0
209,5,Très bien livraison rapide merci.,10 octobre 2022,0
210,5,"Tres bons produitsTres bons produits, mais dommage que les cartons ne soient pas identifiés",17 octobre 2022,0
211,5,Expérience parfaitement réussie!Expérience parfaitement réussie!Merci.Jean,12 octobre 2022,0
212,5,"ParfaitParfait , envoi rapide ++++",13 octobre 2022,0
213,5,Produits de qualité et livraison très…Produits de qualité et livraison très rapide. Merci 🙏,13 octobre 2022,0
214,2,Non respect date de livraison demandee,12 octobre 2022,0
215,5,"La saga du tableauComme prévue livraison à la date, mais pas au domicile, merci DPD de m'avoir fait marcher 2km et demi à 78 ans.Bon ceci étant dit, matériel nickel, parfait pour envoyer mon tableau, bien protégé expédié et déjà arrivé.Aujourd'hui chez l'encadreur, merci beaucoup.",11 octobre 2022,0
216,5,Super cartons super réactivité,10 octobre 2022,0
217,5,"Livraison ultra rapideLivraison ultra rapide, produits de qualité... je recommande!",03 octobre 2022,0
218,5,Livraison rapideLivraison rapide. Cartons pour verres sont très bien.,09 octobre 2022,0
219,5,Très bonne transaction 👍,14 octobre 2022,0
220,5,Livraison rapide et sans erreur par…Livraison rapide et sans erreur par rapport à la commande. De plus petit carton en plus: super.,30 septembre 2022,0
221,1,Je n'ai jamais reçu ma commande,09 septembre 2022,0
222,5,Service excellentService excellent. je vous remercie beaucoup.,14 octobre 2022,0
223,4,Bonne expérienceBonne expérience. Surtout livraison dans les délais prévus. Très bon accueil au téléphone. Je recommande.,12 octobre 2022,0
224,5,conformité et rapidité,07 octobre 2022,0
225,5,très bien livraison impeccable,05 octobre 2022,0
226,5,Très satisfaite du service.,29 septembre 2022,0
